Player,Team,Match Up,Game Date,Column 5,Win Loss,Min,Points,FGM,FGA,FG%,3PT,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus,Fantasy
Isaiah Roby,OKC,23,F,60,60,100.0%,5.6,10.8,51.7,48.3,3.4,,,,,,,,,,,,,,,
Kevin Love,CLE,32,F-C,24,24,100.0%,5.6,10.7,52.3,47.8,4.6,,,,,,,,,,,,,,,
Collin Sexton,CLE,22,G,60,60,100.0%,5.6,11.4,48.6,45.5,3.2,,,,,,,,,,,,,,,
Lauri Markkanen,CHI,24,F-C,50,50,100.0%,5.6,11.6,48.1,46.7,1.4,,,,,,,,,,,,,,,
Jaylen Brown,BOS,24,G-F,58,58,100.0%,5.5,12.3,44.9,46.4,-1.4,,,,,,,,,,,,,,,
Justin Holiday,IND,32,F-G,71,71,100.0%,5.5,12.6,43.6,46.5,-3.0,,,,,,,,,,,,,,,
Anthony Edwards,MIN,19,G,71,71,100.0%,5.5,11.3,48.5,45.6,2.9,,,,,,,,,,,,,,,
Michael Porter Jr.,DEN,23,F,60,60,100.0%,5.5,11.6,46.9,47.0,-0.1,,,,,,,,,,,,,,,
Tyrese Haliburton,SAC,21,G,56,56,100.0%,5.5,10.7,51.0,45.3,5.7,,,,,,,,,,,,,,,
Ja Morant,MEM,21,G,63,63,100.0%,5.4,11.1,49.1,46.2,2.9,,,,,,,,,,,,,,,
Cody Zeller,CHA,28,F-C,47,47,100.0%,5.4,11.3,47.9,48.8,-0.8,,,,,,,,,,,,,,,
John Wall,HOU,30,G,40,40,100.0%,5.4,11.4,47.3,46.3,0.9,,,,,,,,,,,,,,,
Marc Gasol,LAL,36,C,52,52,100.0%,5.4,11.2,47.9,48.8,-0.8,,,,,,,,,,,,,,,
Kevon Looney,GSW,25,F,60,60,100.0%,5.4,11.1,48.6,48.5,0.1,,,,,,,,,,,,,,,
Thaddeus Young,CHI,33,F,68,68,100.0%,5.3,11.0,48.9,47.6,1.3,,,,,,,,,,,,,,,
Montrezl Harrell,LAL,27,F-C,68,68,100.0%,5.3,11.3,47.3,48.3,-1.0,,,,,,,,,,,,,,,
Nerlens Noel,NYK,27,C-F,63,63,100.0%,5.3,11.4,46.9,49.3,-2.4,,,,,,,,,,,,,,,
Kelly Oubre Jr.,GSW,25,F-G,54,54,100.0%,5.3,11.9,44.6,47.1,-2.5,,,,,,,,,,,,,,,
D'Angelo Russell,MIN,25,G,41,41,100.0%,5.3,11.1,47.8,45.8,2.0,,,,,,,,,,,,,,,
Kyrie Irving,BKN,29,G,54,54,100.0%,5.3,11.3,46.5,46.0,0.5,,,,,,,,,,,,,,,
Jimmy Butler,MIA,31,F,50,50,100.0%,5.3,11.9,44.1,46.3,-2.2,,,,,,,,,,,,,,,
Trevor Ariza,MIA,36,F,28,28,100.0%,5.3,12.0,43.9,46.4,-2.5,,,,,,,,,,,,,,,
Kawhi Leonard,LAC,30,F,52,52,100.0%,5.3,10.7,49.0,47.0,2.0,,,,,,,,,,,,,,,
Bobby Portis,MIL,26,F,65,65,100.0%,5.2,11.1,47.0,47.8,-0.9,,,,,,,,,,,,,,,
Russell Westbrook,WAS,32,G,64,64,100.0%,5.2,11.3,46.3,46.5,-0.3,,,,,,,,,,,,,,,
Trae Young,ATL,22,G,63,63,100.0%,5.2,10.7,48.7,45.3,3.3,,,,,,,,,,,,,,,
Khem Birch,TOR,28,C,66,66,100.0%,5.2,11.3,46.3,47.6,-1.3,,,,,,,,,,,,,,,
Will Barton,DEN,30,G,54,54,100.0%,5.2,10.3,50.2,46.3,3.9,,,,,,,,,,,,,,,
Derrick Favors,UTA,29,F,68,68,100.0%,5.2,10.4,49.7,49.2,0.5,,,,,,,,,,,,,,,
Deni Avdija,WAS,20,F,53,53,100.0%,5.2,10.7,48.2,47.0,1.3,,,,,,,,,,,,,,,
Tyler Herro,MIA,21,G,52,52,100.0%,5.2,11.3,45.7,45.1,0.5,,,,,,,,,,,,,,,
Donte DiVincenzo,MIL,24,G,65,65,100.0%,5.1,10.9,47.2,46.1,1.1,,,,,,,,,,,,,,,
Devonte' Graham,CHA,26,G,54,54,100.0%,5.1,11.1,46.2,45.7,0.6,,,,,,,,,,,,,,,
Reggie Bullock,NYK,30,G-F,64,64,100.0%,5.1,10.9,46.8,46.2,0.6,,,,,,,,,,,,,,,
Kevin Huerter,ATL,22,G-F,69,69,100.0%,5.1,11.6,44.3,45.6,-1.3,,,,,,,,,,,,,,,
Giannis Antetokounmpo,MIL,26,F,59,59,100.0%,5.1,11.5,44.5,47.3,-2.8,,,,,,,,,,,,,,,
Kevin Durant,BKN,32,F,35,35,100.0%,5.1,11.9,43.0,47.0,-3.9,,,,,,,,,,,,,,,
OG Anunoby,TOR,23,F,43,43,100.0%,5.1,11.7,43.3,47.3,-3.9,,,,,,,,,,,,,,,
Jae'Sean Tate,HOU,25,F,70,70,100.0%,5.0,10.8,46.5,46.9,-0.3,,,,,,,,,,,,,,,
Dorian Finney-Smith,DAL,28,F,60,60,100.0%,5.0,11.6,43.5,46.1,-2.7,,,,,,,,,,,,,,,
Patrick Williams,CHI,19,F,71,71,100.0%,5.0,10.1,49.7,47.4,2.4,,,,,,,,,,,,,,,
Danilo Gallinari,ATL,32,F,51,51,100.0%,5.0,10.3,48.5,46.8,1.7,,,,,,,,,,,,,,,
Garrett Temple,CHI,35,G-F,56,56,100.0%,5.0,11.2,44.5,45.7,-1.1,,,,,,,,,,,,,,,
Chris Paul,PHX,36,G,68,68,100.0%,5.0,9.9,50.4,45.5,4.9,,,,,,,,,,,,,,,
Malik Beasley,MIN,24,G,36,36,100.0%,5.0,9.6,51.7,45.8,5.9,,,,,,,,,,,,,,,
P.J. Tucker,MIL,36,F,52,52,100.0%,5.0,10.1,49.3,47.5,1.9,,,,,,,,,,,,,,,
Juan Toscano-Anderson,GSW,28,F,51,51,100.0%,4.9,10.3,48.0,46.8,1.2,,,,,,,,,,,,,,,
Jeremy Lamb,IND,29,G-F,36,36,100.0%,4.9,10.1,49.0,46.4,2.7,,,,,,,,,,,,,,,
Ben Simmons,PHI,24,G-F,58,58,100.0%,4.9,11.8,41.7,46.2,-4.5,,,,,,,,,,,,,,,
Nicolas Batum,LAC,32,G-F,67,67,100.0%,4.9,10.4,47.1,47.1,0.1,,,,,,,,,,,,,,,
Kyle Anderson,MEM,27,F-G,69,69,100.0%,4.9,10.9,45.0,46.2,-1.2,,,,,,,,,,,,,,,
Elfrid Payton,NYK,27,G,61,61,100.0%,4.9,10.7,45.6,45.6,-0.1,,,,,,,,,,,,,,,
De'Andre Hunter,ATL,23,F-G,23,23,100.0%,4.9,12.3,39.4,46.5,-7.1,,,,,,,,,,,,,,,
Josh Jackson,DET,24,G-F,62,62,100.0%,4.9,9.9,49.2,45.8,3.4,,,,,,,,,,,,,,,
Jaden McDaniels,MIN,20,F,61,61,100.0%,4.8,10.6,46.0,46.8,-0.9,,,,,,,,,,,,,,,
Bismack Biyombo,CHA,28,C,64,64,100.0%,4.8,10.7,45.3,47.7,-2.5,,,,,,,,,,,,,,,
Joe Harris,BKN,29,G-F,69,69,100.0%,4.8,10.4,46.4,45.6,0.8,,,,,,,,,,,,,,,
Delon Wright,SAC,29,G,61,61,100.0%,4.8,9.9,48.8,46.7,2.2,,,,,,,,,,,,,,,
Jerami Grant,DET,27,F,54,54,100.0%,4.8,10.2,47.1,47.6,-0.6,,,,,,,,,,,,,,,
Pat Connaughton,MIL,28,G,68,68,100.0%,4.8,10.3,46.2,45.5,0.7,,,,,,,,,,,,,,,
David Nwaba,HOU,28,G-F,30,30,100.0%,4.8,10.0,47.8,45.9,1.9,,,,,,,,,,,,,,,
Anthony Lamb,HOU,23,F,22,22,100.0%,4.8,8.6,55.9,46.5,9.3,,,,,,,,,,,,,,,
Freddie Gillespie,TOR,24,F,20,20,100.0%,4.8,9.4,50.3,48.3,1.9,,,,,,,,,,,,,,,
T.J. Warren,IND,27,F,4,4,100.0%,4.8,7.8,61.3,47.9,13.4,,,,,,,,,,,,,,,
Tim Hardaway Jr.,DAL,29,G-F,70,70,100.0%,4.7,10.4,45.4,45.4,0.0,,,,,,,,,,,,,,,
Chuma Okeke,ORL,22,F,44,44,100.0%,4.7,10.0,47.4,45.8,1.6,,,,,,,,,,,,,,,
DeMarcus Cousins,LAC,30,C,41,41,100.0%,4.7,9.8,48.0,48.5,-0.5,,,,,,,,,,,,,,,
Donovan Mitchell,UTA,24,G,53,53,100.0%,4.7,9.7,48.8,45.5,3.3,,,,,,,,,,,,,,,
Dakota Mathias,PHI,25,G,7,7,100.0%,4.7,10.0,47.1,45.1,2.1,,,,,,,,,,,,,,,
LaMelo Ball,CHA,19,G,50,50,100.0%,4.7,10.0,47.1,45.5,1.6,,,,,,,,,,,,,,,
Jayson Tatum,BOS,23,F-G,64,64,100.0%,4.7,9.9,47.6,46.3,1.3,,,,,,,,,,,,,,,
Mike Conley,UTA,33,G,51,51,100.0%,4.7,10.8,43.6,44.9,-1.3,,,,,,,,,,,,,,,
Killian Hayes,DET,19,G,26,26,100.0%,4.7,10.1,46.6,44.7,1.9,,,,,,,,,,,,,,,
Brandon Ingram,NOP,23,F,59,59,100.0%,4.7,9.8,47.7,46.0,1.6,,,,,,,,,,,,,,,
Aaron Gordon,DEN,25,F,49,49,100.0%,4.7,10.1,45.9,47.1,-1.2,,,,,,,,,,,,,,,
Paul Millsap,DEN,36,F,55,55,100.0%,4.7,9.4,49.2,47.4,1.8,,,,,,,,,,,,,,,
Dwayne Bacon,ORL,25,G-F,70,70,100.0%,4.6,10.0,46.2,46.0,0.3,,,,,,,,,,,,,,,
Gordon Hayward,CHA,31,F,43,43,100.0%,4.6,10.2,45.4,47.0,-1.5,,,,,,,,,,,,,,,
Mike Muscala,OKC,29,F-C,34,34,100.0%,4.6,10.7,43.3,47.9,-4.6,,,,,,,,,,,,,,,
Xavier Tillman,MEM,22,F,59,59,100.0%,4.6,10.1,45.9,48.4,-2.6,,,,,,,,,,,,,,,
Cory Joseph,DET,29,G,61,61,100.0%,4.6,9.7,47.5,45.9,1.6,,,,,,,,,,,,,,,
Landry Shamet,BKN,24,G,61,61,100.0%,4.6,8.8,52.3,45.8,6.5,,,,,,,,,,,,,,,
Aron Baynes,TOR,34,C-F,52,52,100.0%,4.6,10.0,45.9,49.1,-3.2,,,,,,,,,,,,,,,
Robert Williams III,BOS,23,C-F,52,52,100.0%,4.6,9.9,46.3,48.3,-2.0,,,,,,,,,,,,,,,
Bruce Brown,BKN,24,G-F,65,65,100.0%,4.6,9.8,46.8,46.4,0.4,,,,,,,,,,,,,,,
Naji Marshall,NOP,23,F,27,27,100.0%,4.6,9.6,47.5,46.1,1.4,,,,,,,,,,,,,,,
Jalen McDaniels,CHA,23,F-C,44,44,100.0%,4.5,9.4,47.8,45.6,2.2,,,,,,,,,,,,,,,
Brandon Clarke,MEM,24,F,59,59,100.0%,4.5,9.4,47.9,47.7,0.3,,,,,,,,,,,,,,,
Gabriel Deck,OKC,26,F,10,10,100.0%,4.5,8.4,53.6,49.9,3.6,,,,,,,,,,,,,,,
Terrence Ross,ORL,30,G-F,45,45,100.0%,4.5,9.7,45.9,45.6,0.3,,,,,,,,,,,,,,,
Frank Kaminsky,PHX,28,F-C,46,46,100.0%,4.5,9.0,49.3,48.1,1.2,,,,,,,,,,,,,,,
Michael Carter-Williams,ORL,29,G,31,31,100.0%,4.5,10.4,42.7,46.8,-4.0,,,,,,,,,,,,,,,
Hassan Whiteside,SAC,32,C,33,33,100.0%,4.5,9.6,46.4,49.2,-2.8,,,,,,,,,,,,,,,
Marcus Smart,BOS,27,G,48,48,100.0%,4.4,10.3,42.7,46.2,-3.4,,,,,,,,,,,,,,,
T.J. McConnell,IND,29,G,68,68,100.0%,4.4,9.3,47.6,45.0,2.6,,,,,,,,,,,,,,,
Willie Cauley-Stein,DAL,27,C,53,53,100.0%,4.4,9.5,46.3,48.4,-2.1,,,,,,,,,,,,,,,
Dante Exum,HOU,25,G,5,5,100.0%,4.4,9.4,46.8,47.0,-0.2,,,,,,,,,,,,,,,
Daniel Gafford,WAS,22,F-C,52,52,100.0%,4.4,9.0,49.1,48.8,0.3,,,,,,,,,,,,,,,
Ed Davis,MIN,32,C-F,20,20,100.0%,4.4,8.6,51.2,49.2,1.9,,,,,,,,,,,,,,,
Seth Curry,PHI,30,G,57,57,100.0%,4.4,9.2,47.7,44.8,2.9,,,,,,,,,,,,,,,
Davis Bertans,WAS,28,F,56,56,100.0%,4.4,9.8,44.5,45.7,-1.1,,,,,,,,,,,,,,,
Markelle Fultz,ORL,23,G,8,8,100.0%,4.4,8.3,53.0,45.7,7.3,,,,,,,,,,,,,,,
Raul Neto,WAS,29,G,63,63,100.0%,4.4,9.0,48.7,45.6,3.1,,,,,,,,,,,,,,,
Gorgui Dieng,SAS,31,C,38,38,100.0%,4.4,8.1,53.7,48.2,5.5,,,,,,,,,,,,,,,
Mo Bamba,ORL,23,C,43,43,100.0%,4.3,9.3,47.0,48.6,-1.7,,,,,,,,,,,,,,,
Nic Claxton,BKN,22,F-C,32,32,100.0%,4.3,10.8,40.4,46.2,-5.8,,,,,,,,,,,,,,,
Ricky Rubio,MIN,30,G,67,67,100.0%,4.3,9.1,47.9,45.6,2.2,,,,,,,,,,,,,,,
Bojan Bogdanovic,UTA,32,F,72,72,100.0%,4.3,9.7,44.8,46.8,-2.0,,,,,,,,,,,,,,,
